,pvalue,padj,log2FoldChange
HERC6,1.2494E-03,1.9999E-02,0.5573
FKBP11,1.2510E-03,2.0005E-02,0.6461
KRT8P13,1.2534E-03,2.0009E-02,-1.0734
WDR46,1.2537E-03,2.0009E-02,0.5303
ACHE,1.2624E-03,2.0128E-02,1.3863
GPRC5A,1.2670E-03,2.0157E-02,1.6330
DOCK9-AS1,1.2715E-03,2.0157E-02,-1.0249
APEX1,1.2731E-03,2.0157E-02,0.2879
NCKAP5,1.2740E-03,2.0157E-02,-0.5693
RP11-466P24.7,1.2766E-03,2.0157E-02,2.0002
THAP8,1.2790E-03,2.0157E-02,0.4318
SNRPA1,1.2927E-03,2.0265E-02,-0.2717
STX2,1.2933E-03,2.0265E-02,-0.5305
RP11-556O9.2,1.2960E-03,2.0289E-02,-0.6281
LINC00087,1.3011E-03,2.0329E-02,1.2285
LSG1,1.3061E-03,2.0331E-02,0.3697
CLPTM1,1.3070E-03,2.0331E-02,0.4351
RSPH4A,1.3280E-03,2.0535E-02,-0.5617
MAP1LC3A,1.3354E-03,2.0607E-02,0.8453
AC034193.5,1.3533E-03,2.0807E-02,-0.5696
ITGA1,1.3664E-03,2.0934E-02,-0.7949
SLC12A7,1.3669E-03,2.0934E-02,0.6891
AC073342.12,1.3679E-03,2.0934E-02,-0.8384
EMILIN2,1.3771E-03,2.1035E-02,-0.9916
RP11-164J13.1,1.3814E-03,2.1061E-02,-1.0322
PLEKHG1,1.3931E-03,2.1181E-02,-0.5783
SLITRK5,1.4124E-03,2.1435E-02,0.6635
GABPB1-AS1,1.4179E-03,2.1498E-02,-0.4548
PODXL,1.4460E-03,2.1723E-02,-0.6139
OAZ1,1.4543E-03,2.1807E-02,0.5859
NKAIN3,1.4585E-03,2.1829E-02,0.6335
RP11-359J14.2,1.4597E-03,2.1829E-02,-0.5679
TAS2R39,1.4635E-03,2.1865E-02,-1.0678
APOBEC2,1.4729E-03,2.1967E-02,-0.8508
FAM76A,1.4807E-03,2.2005E-02,-0.2698
N4BP1,1.4909E-03,2.2113E-02,-0.1593
DENND6A,1.5419E-03,2.2584E-02,-0.2290
HCFC1R1,1.5545E-03,2.2667E-02,0.6459
NGFRAP1,1.5582E-03,2.2680E-02,0.5228
BMP8A,1.5646E-03,2.2682E-02,-1.0357
GK5,1.5666E-03,2.2682E-02,-0.7512
POLR2L,1.5738E-03,2.2709E-02,0.6396
FNIP2,1.5810E-03,2.2709E-02,-0.3494
SLC24A1,1.5983E-03,2.2883E-02,-0.3804
AC004158.2,1.6000E-03,2.2883E-02,-0.6578
MUL1,1.6112E-03,2.2960E-02,0.2798
RP11-467L20.10,1.6183E-03,2.3023E-02,-0.8049
MPP3,1.6201E-03,2.3028E-02,-0.5927
ZIC3,1.6242E-03,2.3067E-02,-0.8404
ADAM12,1.6384E-03,2.3168E-02,-0.5206
ST3GAL1,1.6548E-03,2.3360E-02,0.8092
RP11-299G20.3,1.6595E-03,2.3386E-02,-1.0980
AC007383.3,1.6718E-03,2.3458E-02,-0.5068
HSPB11,1.6900E-03,2.3647E-02,-0.3447
RP11-226L15.5,1.7005E-03,2.3759E-02,-0.4980
PPRC1,1.7178E-03,2.3920E-02,-0.2783
SLC2A2,1.7235E-03,2.3938E-02,-0.9071
SLC18A2,1.7321E-03,2.4005E-02,1.9140
NANOGP4,1.7384E-03,2.4022E-02,-0.9420
RP11-299G20.2,1.7503E-03,2.4075E-02,-0.8941
TSPAN19,1.7668E-03,2.4119E-02,-0.8186
MIR4453,1.7673E-03,2.4119E-02,-0.3541
ACOT8,1.7675E-03,2.4119E-02,0.4312
RP11-285F7.2,1.7758E-03,2.4183E-02,-1.0670
SNHG18,1.8188E-03,2.4593E-02,-1.0189
INTS10,1.8386E-03,2.4765E-02,-0.2757
KCND3,1.8390E-03,2.4765E-02,1.1185
NR2C2,1.8405E-03,2.4765E-02,-0.2057
CD226,1.8436E-03,2.4765E-02,-0.5805
