,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC
CAMSAP1,2.0502E-06,1.0125E-03,0.8084,1.3762E-03,0.4265,6.4878E-04,1.1904
ZNF436,2.2395E-06,1.0582E-03,1.1938,1.1036E-07,0.8048,2.1162E-03,1.5827
ACVR2A,2.3812E-06,1.0911E-03,1.2363,1.7544E-06,0.6308,2.1805E-03,1.8418
PYGB,2.4201E-06,1.1000E-03,-0.7666,2.2114E-04,-0.5265,1.9789E-03,-1.0067
ANO3,2.5760E-06,1.1349E-03,1.2712,4.2609E-04,1.1585,1.8437E-03,1.3839
HDGFRP3,2.6626E-06,1.1538E-03,0.9196,3.8474E-05,0.6124,2.2692E-03,1.2268
DLEU7,2.6889E-06,1.1595E-03,1.3068,2.3181E-03,0.4555,8.8949E-07,2.1582
LRRC7,2.7121E-06,1.1645E-03,1.2686,1.6802E-03,0.6136,6.4878E-04,1.9237
CDC7,3.0415E-06,1.2332E-03,1.0822,2.3448E-04,0.5711,2.2319E-03,1.5932
CXADR,3.0803E-06,1.2410E-03,1.4598,1.2197E-07,1.1907,2.4820E-03,1.7289
CTD-2023N9.3,3.0868E-06,1.2423E-03,1.5497,2.1700E-06,1.4018,2.4825E-03,1.6975
STAC2,3.1570E-06,1.2564E-03,-1.7805,1.2697E-11,-1.3480,2.5128E-03,-2.2130
AARD,3.1594E-06,1.2569E-03,1.9480,2.1498E-05,1.5701,2.4922E-03,2.3259
THSD7A,3.6203E-06,1.3454E-03,1.6809,2.9395E-16,1.0301,2.6908E-03,2.3316
PNOC,3.6203E-06,1.3454E-03,2.0760,5.8707E-11,1.6242,2.6908E-03,2.5278
SOCS5,3.6435E-06,1.3497E-03,0.8013,8.3236E-04,0.4962,1.8671E-03,1.1063
KCNS1,3.8046E-06,1.3792E-03,-1.7483,2.5293E-03,-0.9318,2.2921E-04,-2.5648
FGF17,3.8127E-06,1.3807E-03,-1.4087,8.8776E-04,-1.0313,1.8737E-03,-1.7861
C20orf112,3.8466E-06,1.3868E-03,0.7518,4.2726E-04,0.4261,2.3464E-03,1.0775
SBNO1,4.0231E-06,1.4183E-03,1.1041,1.7855E-03,0.5596,1.0511E-03,1.6486
SETBP1,4.3854E-06,1.4808E-03,1.1239,2.4825E-03,0.3439,4.7910E-04,1.9039
ATXN1,4.4857E-06,1.4976E-03,0.7965,2.1521E-03,0.3216,8.4310E-04,1.2715
SOWAHA,4.5218E-06,1.5036E-03,1.0777,6.4594E-05,0.7898,2.9427E-03,1.3656
GPR126,4.6050E-06,1.5174E-03,1.7547,6.7865E-04,1.0550,2.3561E-03,2.4544
BRI3BP,4.6739E-06,1.5287E-03,0.8093,1.3147E-03,0.5225,1.7427E-03,1.0961
BMP4,4.7617E-06,1.5430E-03,-1.9688,7.9243E-04,-1.8295,2.2936E-03,-2.1081
TP53I11,4.7781E-06,1.5457E-03,1.3061,2.8579E-03,0.6888,2.3338E-04,1.9234
NPTXR,4.8642E-06,1.5595E-03,1.3688,2.2052E-05,0.9870,3.0970E-03,1.7505
METAP1,5.0523E-06,1.5894E-03,0.8290,2.1546E-03,0.5059,1.0242E-03,1.1521
PPEF1,5.0736E-06,1.5927E-03,1.9863,1.1757E-06,1.7040,3.1843E-03,2.2686
PTP4A1,5.4514E-06,1.6510E-03,0.9316,9.2354E-04,0.5860,2.3784E-03,1.2773
CCSAP,5.8975E-06,1.7172E-03,1.0932,2.9363E-03,0.6671,4.9807E-04,1.5193
RGMB,5.9088E-06,1.7188E-03,1.0504,2.1344E-03,0.6477,1.3033E-03,1.4532
MEF2A,6.0093E-06,1.7334E-03,1.3846,2.0841E-03,0.4946,1.3827E-03,2.2746
DLX1,6.1448E-06,1.7528E-03,1.6464,3.5056E-03,0.5430,8.1066E-08,2.7498
SSBP2,6.6271E-06,1.8203E-03,0.9539,5.1231E-04,0.5696,3.1283E-03,1.3383
NPY5R,6.6972E-06,1.8299E-03,1.7558,1.0407E-03,0.8907,2.6191E-03,2.6208
TADA1,6.8485E-06,1.8505E-03,0.8642,1.8339E-03,0.4686,1.8671E-03,1.2598
PANK3,6.8490E-06,1.8505E-03,1.1241,5.2610E-06,0.7002,3.6958E-03,1.5480
RP13-516M14.1,6.8765E-06,1.8543E-03,-1.4028,1.2682E-05,-1.2400,3.6958E-03,-1.5657
ULK2,7.0447E-06,1.8768E-03,0.8440,5.7761E-05,0.4119,3.6958E-03,1.2762
LINC00507,7.3366E-06,1.9153E-03,2.4445,7.6998E-11,2.0583,3.8306E-03,2.8306
TTC3P1,7.4441E-06,1.9293E-03,2.0048,3.8576E-03,0.5278,9.7139E-07,3.4819
CDC40,7.6840E-06,1.9601E-03,0.9200,1.4092E-03,0.5360,2.5111E-03,1.3040
RP11-147N17.1,7.7987E-06,1.9747E-03,2.4646,1.6802E-03,0.9987,2.2692E-03,3.9304
MAPK8,7.9121E-06,1.9890E-03,0.9671,8.7836E-04,0.6459,3.0996E-03,1.2884
RP11-193H5.1,8.5757E-06,2.0707E-03,3.7493,7.4301E-17,3.3397,4.1414E-03,4.1589
GNPTAB,8.6033E-06,2.0740E-03,1.0544,5.9266E-09,0.7637,4.1481E-03,1.3452
