,Combined p-vlaue,AvgAdjP,AvgLogFC,Total_pF_padj,Total_pF_log2FC,PolyA_pF_padj,PolyA_pF_log2FC,Gage_pF_padj,Gage_pF_log2FC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC,Total_SN_padj,Total_SN_log2FC
SUMO1,0.114199417,0.356120624,0.370957636,0.580586719,0.153495971,0.914392543,0.141195695,0.273187043,0.575990429,8.14507349907755e-05,0.581575038,0.242861531,0.519259598,0.125614457,0.254229088
MRPS35,0.114542133,0.356327167,0.273776179,0.052783684,0.217770145,0.813850902,0.156186223,0.67700591,0.191930802,0.000458723,0.458314223,0.490213316,0.319570393,0.103650464,0.298885285
SLC9A8,0.115368521,0.356823492,-0.259118702,0.240689521,-0.169644746,0.792189877,-0.185482252,0.76932658,-0.152906944,0.002015409,-0.358367153,0.304779833,-0.369048395,0.031939729,-0.319262722
ZNHIT3,0.117552366,0.35812368,0.31239506,0.276794363,0.155209029,0.880718246,0.159837924,0.477340116,0.528091998,0.117567049,0.274779476,0.079236283,0.57614184,0.317086022,0.180310094
CCT8,0.119262186,0.359130372,0.34350428,0.336865051,0.245625589,0.763107584,0.249386691,0.233145056,0.426221947,0.007270304,0.487666591,0.771010423,0.169873782,0.043383816,0.482251079
PHYKPL,0.120176332,0.359664634,-0.364712159,0.177563873,-0.188186626,0.879811853,-0.112452199,0.688863326,-0.16304024,0.016418609,-0.630293814,0.281403934,-0.624458207,0.113926212,-0.46984187
PNMAL1,0.122768724,0.361165124,0.991703588,0.53735873,0.706477822,0.000293774,3.095774726,0.503973032,0.713744818,0.702810529,0.103104259,0.226435828,0.817036505,0.196118851,0.514083399
TMEM104,0.123193115,0.361408748,-0.368474125,0.013846966,-0.330457021,0.616270989,-0.36941023,0.56101989,-0.320801218,0.603990905,-0.144201157,0.056117457,-0.861461662,0.317206282,-0.184513462
IDNK,0.124243994,0.362009621,-0.48720507,0.626821625,-0.183847845,0.5871357,-0.575188727,0.88697107,-0.142357258,0.041984437,-0.366367782,0.007568388,-1.237738077,0.021576504,-0.41773073
PARD3B,0.127630864,0.363923557,-0.748074502,0.64622709,-0.375295514,0.002740626,-1.349651731,0.027061731,-1.623240431,0.561754017,-0.177998443,0.435141386,-0.8210035,0.510616489,-0.141257395
KIF15,0.128972742,0.364672583,0.799647754,0.014304036,0.933809784,1.45736462328804e-07,2.713518063,0.906897573,0.170217533,0.046640052,0.399737142,0.576845229,0.449911328,0.643348464,0.130692674
MFSD6,0.129660504,0.365054501,0.513238509,0.680676233,0.265013091,0.399455191,0.667601568,0.227536592,0.956977053,0.52476177,0.169951866,0.19933513,0.622351553,0.158562091,0.397535923
EFS,0.13309466,0.36694189,-0.580849588,0.093637717,-0.450355836,0.222533969,-0.717311909,0.726972435,-0.40670416,0.001847641,-1.158493652,0.590050363,-0.589643087,0.566609216,-0.162588882
SMARCD2,0.134089836,0.367482872,-0.5224815,0.563918674,-0.111199736,0.833669618,-0.152208466,0.417116116,-0.354536382,0.017865916,-0.603077945,0.001095853,-1.692553626,0.371231051,-0.221312846
RABIF,0.137063704,0.369084071,0.284420599,0.105352238,0.261443678,0.346255546,0.323317425,0.626520326,0.200680624,0.007463688,0.5082122,0.616034939,0.273186424,0.512877692,0.139683241
TOMM70A,0.138087383,0.369630025,0.304069999,0.241054368,0.16765061,0.873282609,0.125754966,0.613992845,0.175847474,0.036371313,0.466436337,0.316553145,0.527430332,0.136525868,0.361300272
ADAMTS3,0.138328694,0.369758341,0.718972112,0.702390174,0.358077994,0.529913631,1.272919759,0.682950903,0.482374712,0.008716041,0.690318831,0.072952878,0.922973839,0.221626417,0.587167534
MOB4,0.140011993,0.370649427,0.424946935,0.515129459,0.232207827,0.884762984,0.153577421,0.545987453,0.414357971,0.001191381,0.674971231,0.048209093,0.780592342,0.22861619,0.29397482
TGFB3,0.140415251,0.370861872,-0.696100741,0.470899683,-0.443146712,0.291603925,-1.003389654,0.567378342,-0.78514591,0.015237292,-0.662517384,0.083161298,-1.168042386,0.796890692,-0.114362398
CDC14B,0.143026362,0.372228058,-0.50569475,0.776991193,-0.152028457,0.324417152,-0.572853076,0.046580054,-1.363570465,0.029794493,-0.49717104,0.909368222,-0.13567743,0.146217234,-0.312868034
MLF1,0.146894477,0.374222888,0.364736376,0.680676233,0.126659677,0.441141283,0.385660655,0.467550303,0.322858091,1.35152811552816e-05,0.678423661,0.19877204,0.534727398,0.457183951,0.140088772
IER3IP1,0.148117048,0.374846409,0.295308336,0.422209328,0.122367254,0.658851236,0.28912343,0.40119576,0.39492974,0.001710406,0.476632059,0.497106283,0.279166423,0.268005442,0.209631109
ARAP1,0.148177406,0.374877107,-0.30702527,0.070939632,-0.293471922,0.133306025,-0.468568153,0.740349477,-0.201531595,0.243730713,-0.292159118,0.417692675,-0.457356193,0.643244123,-0.129064638
USP30,0.150843386,0.376225208,-0.240521845,0.301740277,-0.121771847,0.712206244,-0.215114839,0.443564055,-0.352514191,0.075784673,-0.186091765,0.493647351,-0.356869973,0.230408648,-0.210768454
PRKAA2,0.152701777,0.377156058,0.681035171,0.889387685,0.188015547,0.839855566,0.666632617,0.000804168,1.799400351,0.055808672,0.427274432,0.046994601,0.826500165,0.430085659,0.178387915
SLC25A45,0.152776297,0.377193235,-0.391562053,0.193507764,-0.356395184,0.332358645,-0.617345326,0.704019787,-0.237359537,0.335051365,-0.185267674,0.361532997,-0.599247252,0.336688854,-0.353757347
GEMIN2,0.156821331,0.379194428,0.314328254,0.345606381,0.219235422,0.641423258,0.34459209,0.671202637,0.392742536,0.031426346,0.25747061,0.313788842,0.51383954,0.271719107,0.158089326
KIAA1614,0.167975441,0.384551717,-0.423127989,0.178837497,-0.285814156,0.611258202,-0.328637772,0.544940676,-0.54384609,0.001554307,-0.731579138,0.424839503,-0.494107507,0.545880115,-0.154783271
RAD51AP1,0.172187384,0.386517824,0.859847745,0.087704068,0.749733501,3.6829406206185e-11,2.59987664,0.630726576,0.663391049,0.399828903,0.211099884,0.529691252,0.778207609,0.671156147,0.156777785
ERBB2,0.172960171,0.386875379,-0.595618665,0.190083142,-0.143450918,0.673650446,-0.236439486,0.677373356,-0.292629033,0.018301255,-0.763613507,1.40620269936989e-08,-2.015889575,0.761844058,-0.12168947
CISD2,0.174343762,0.387513138,0.304221625,0.113522899,0.206659812,0.849498088,0.131840852,0.59880563,0.353190433,0.001070764,0.595291749,0.584977612,0.254745776,0.177203836,0.28360113
LRRC48,0.180469185,0.390300713,-0.366647823,0.347289138,-0.352982678,0.327598564,-0.707005556,0.480287005,-0.46823532,0.012407653,-0.272292336,0.77132225,-0.230600874,0.402899668,-0.168770175
ATP6V1C1,0.181223726,0.390640161,0.373296244,0.34815012,0.290452363,0.823369805,0.159055321,0.690752609,0.204330358,0.075024724,0.455452077,0.233372513,0.630815992,0.173171196,0.499671352
KIAA1407,0.182306573,0.391125842,-0.420909761,0.275544041,-0.393030251,0.912801532,-0.194720842,0.499752303,-0.414528281,1.31159591176737e-05,-0.664609073,0.656650782,-0.344764796,0.001993281,-0.513805321
TRMT10C,0.183088149,0.391475335,0.377877763,0.200496298,0.353834027,0.833669618,0.212848553,0.595534182,0.298256187,0.000381343,0.671251705,0.506670925,0.422843895,0.212099643,0.308232214
XPC,0.183875474,0.391826507,-0.305262348,0.488789846,-0.154808489,0.464043276,-0.363498574,0.484512613,-0.415069011,4.38641144737704e-05,-0.477880111,0.815550996,-0.167399716,0.098018449,-0.252918189
TRIM4,0.184072859,0.391914408,-0.327376358,0.428574134,-0.231266139,0.100189957,-0.574902971,0.507140291,-0.35507199,0.011628397,-0.436629331,0.754590351,-0.248096892,0.549363321,-0.118290826
ACOT7,0.184307093,0.392018647,0.586851736,0.24754187,0.310643843,0.920195103,0.189244928,0.000918995,1.320877871,0.411030858,0.27067114,0.754972542,0.336067657,0.017452512,1.093604979
DCTPP1,0.186654926,0.393059191,0.381889057,0.176280757,0.370120861,0.945847249,0.110976412,0.49384002,0.439523455,0.003472557,0.542982758,0.682421937,0.353408293,0.056492629,0.474322563
PLD2,0.19247876,0.39560763,-0.461546446,0.415300145,-0.138133472,0.886535626,-0.134091181,0.269843555,-0.412742601,0.162624715,-0.459009343,0.02984454,-1.496629174,0.609497198,-0.128672906
UBE2V2,0.192551022,0.395638967,0.402901786,0.641335862,0.118403674,0.71320776,0.324690868,0.578072784,0.395971248,0.00546724,0.570669103,0.200863369,0.651955197,0.234886785,0.355720623
CREB3L1,0.193576254,0.396082836,0.524286605,0.786984202,0.106724913,0.795111035,0.182145297,0.673380267,0.26083064,0.032473699,0.679448552,0.08529593,0.922311127,0.003251881,0.994259099
LGALS9,0.195013666,0.396702873,-0.985674389,0.031448592,-2.006298113,0.806921029,-1.090210894,0.233237098,-1.484937693,0.729491163,-0.139881716,0.266786299,-0.817139893,0.312333058,-0.375578028
DLG3,0.195836545,0.397056642,0.491009771,0.185771185,0.381868052,0.900328257,0.112003285,0.746829307,0.237502403,0.002377306,0.75374497,0.156367051,1.085456167,0.390666744,0.375483747
MET,0.195958699,0.397109085,0.593412341,0.699698301,0.168627504,0.093821488,0.899168509,0.756437076,0.253277984,0.011476989,0.829646501,0.085178877,1.21537345,0.736041777,0.194380099
TUBG1,0.197574693,0.3978011,0.373847087,0.629765947,0.192497276,0.575916586,0.529894065,0.172726397,0.516673346,0.10195611,0.34688185,0.820241501,0.170338784,0.086200057,0.486797203
MRPL35,0.202006102,0.399682303,0.216120725,0.116521896,0.172194348,0.646014437,0.239640682,0.571890388,0.223691996,0.00306291,0.35035101,0.656401997,0.169144041,0.404202194,0.141702276
NIPA1,0.203398663,0.400268612,0.377798887,0.186302148,0.396475192,0.821069867,0.243683421,0.575833753,0.331202281,0.082223556,0.358708669,0.142291889,0.798430759,0.593890462,0.138293002
RP11-418J17.1,0.206097337,0.401398409,-0.298890631,0.238969738,-0.238124884,0.814796369,-0.282897202,0.337799831,-0.434733033,0.066209326,-0.32833311,0.870392048,-0.133438182,0.080223139,-0.375817372
C8orf58,0.208880471,0.402554885,-0.476030914,0.615521453,-0.21462291,0.832467344,-0.254008287,0.527991905,-0.335905432,0.070771065,-0.409278107,0.020118894,-1.406476762,0.348458651,-0.235893986
TUBA1B,0.209884053,0.402969788,0.627202816,0.680676233,0.207866744,0.2571765,0.892491179,0.684931591,0.250010054,0.513064611,0.174696664,0.000972094,1.876233036,0.280997697,0.361919223
CORO1A,0.210404116,0.403184358,0.799833262,0.695366725,0.293390748,0.160318661,1.705430835,0.281328113,1.763959178,0.109904345,0.420693747,0.776360411,0.227846975,0.395827895,0.38767809
COL16A1,0.211384657,0.403588114,-0.521251459,0.810630011,-0.112459449,0.708648522,-0.342157062,0.542347115,-0.409514337,0.045062745,-0.704220527,0.272086164,-0.810554417,0.042754125,-0.748602962
SEPT4,0.211762939,0.4037436,-0.757215013,0.342196071,-0.592861516,0.58781983,-1.099076045,0.653032615,-0.549817533,0.066806849,-0.714647252,0.116761177,-1.471598369,0.655845057,-0.115289364
CDKN2AIPNL,0.212216586,0.403929861,0.390343622,0.487606323,0.222546479,0.655709457,0.34708134,0.24423829,0.715679783,0.005238073,0.561186463,0.818748442,0.19491125,0.212038578,0.300656418
FAM63A,0.212873349,0.404199127,-0.387090503,0.294458253,-0.252665343,0.22741523,-0.577886457,0.764428451,-0.304203228,0.169734142,-0.505777704,0.670428615,-0.433520201,0.29873007,-0.248490085
MKKS,0.216235484,0.405570436,0.285405326,0.168183773,0.222809024,0.757698687,0.186099677,0.551198783,0.329131284,0.043977393,0.445713347,0.691850062,0.212538235,0.220513914,0.316140387
C9orf40,0.217065101,0.405907003,0.392804429,0.777349623,0.124170346,0.070572786,0.761442878,0.794276023,0.19712165,0.001088006,0.652294016,0.595327282,0.352921182,0.196828297,0.268876499
GRAMD1B,0.217799099,0.406204191,0.358848818,0.27794799,0.362374133,0.533547527,0.348646146,0.739385244,0.324320258,0.012096354,0.423827283,0.521063187,0.338470853,0.353184843,0.355454235
FBXL12,0.218715974,0.406574656,-0.260519229,0.354734902,-0.148424988,0.616270989,-0.198547649,0.769111088,-0.148889828,0.014883065,-0.34985851,0.434069632,-0.496396905,0.250378258,-0.220997491
F8,0.219543626,0.406908342,-0.604256064,0.019694321,-1.003087376,0.156311815,-1.608533626,0.328960623,-0.640487084,0.391359895,-0.162830463,0.859755394,-0.108319969,0.685368005,-0.102277867
NBR2,0.225498703,0.409289407,-0.515243243,0.603562677,-0.220125172,0.702065839,-0.305048648,0.756035913,-0.226909705,0.009025439,-0.647726062,0.015043503,-1.4954676,0.370003071,-0.196182272
AK8,0.22564151,0.409346088,-0.587345001,0.363101423,-0.483310203,0.368424515,-1.287989427,0.744746193,-0.259991224,0.08780874,-0.449993149,0.129111426,-0.936920386,0.762884228,-0.105865619
COL24A1,0.228911432,0.410638717,0.795034981,0.579734501,0.604497775,0.739244944,1.207653603,0.456718317,1.161913859,7.02095613407612e-05,0.87279585,0.59753605,0.380618149,0.090528281,0.542730648
PLK2,0.230411669,0.411228479,0.71904258,0.803580135,0.142604305,0.509830677,0.490004317,0.364540866,0.973951498,0.000446495,0.980347457,0.003205566,1.587063677,0.785767138,0.140284224
PSMA1,0.230667815,0.41132897,0.281314866,0.232624988,0.164867159,0.849629201,0.175157507,0.63763503,0.293847991,0.003271515,0.488503037,0.607297741,0.248336268,0.137515347,0.317177235
ING2,0.231206067,0.411539943,0.399638479,0.59029526,0.144751284,0.487284883,0.452521282,0.602586077,0.332659874,2.2610611743067e-06,0.574876272,0.198397297,0.791634295,0.59067388,0.10138787
ORC3,0.232121364,0.411898107,0.241703852,0.679038862,0.161078939,0.78002454,0.263536034,0.393754641,0.339599551,0.221135826,0.155449909,0.325482266,0.365973068,0.071952504,0.16458561
BTN3A3,0.238186346,0.414252859,-0.35980543,0.084463593,-0.56595409,0.564727638,-0.395550995,0.755010781,-0.281268564,0.030343919,-0.448851543,0.618240249,-0.326329811,0.432730971,-0.140877578
CARS2,0.24080318,0.415259194,-0.330847312,0.674908626,-0.10752941,0.875139729,-0.12405283,0.756925234,-0.192368218,0.006890045,-0.313859427,0.022780447,-1.015378025,0.154911085,-0.231895964
C1QBP,0.241302354,0.415450515,0.338822405,0.713957262,0.126103855,0.702065839,0.277860891,0.632109722,0.333111046,6.21501534899996e-05,0.552170534,0.426036025,0.477234985,0.018472091,0.266453118
CXCL14,0.241364128,0.415474177,1.062137474,0.928144969,0.156882148,0.973790952,0.186432358,2.67787802261672e-05,3.413075766,8.09694027738292e-12,1.398011423,0.311836409,0.581286843,0.279045952,0.637136305
STOM,0.245247827,0.416955609,-0.53399143,0.309141465,-0.338160615,0.862440754,-0.188503046,0.495495543,-0.426906065,0.541872666,-0.213400643,0.010433782,-1.666693149,0.282349446,-0.370285064
FNBP1,0.246699525,0.417506276,-0.427822823,0.782955226,-0.107549662,0.422080876,-0.294113162,0.442391765,-0.666036735,0.008999735,-0.616199344,0.329337366,-0.753108085,0.519272689,-0.129929951
MGAT5B,0.249790529,0.418673325,1.063523251,0.881367023,0.2420635,0.146495732,2.31474111,0.023503652,2.567566423,0.615343397,0.136577013,0.313260229,0.61564277,0.532069918,0.504548693
TLR4,0.254660518,0.420497415,-0.872828364,0.029135471,-1.545263153,0.824810874,-0.806871486,0.003841089,-2.050864488,0.002068073,-0.579439447,0.917344408,-0.126825354,0.745784576,-0.127706258
FAM117A,0.257970728,0.421727386,-0.464283692,0.459771597,-0.310797731,0.68616906,-0.574549437,0.857342944,-0.167927379,0.016300752,-0.507270353,0.052646638,-1.043446089,0.458133326,-0.181711162
POLE3,0.263962334,0.423934135,0.222695979,0.181559841,0.265460963,0.730654109,0.278387774,0.723183003,0.146862304,0.030335543,0.311154348,0.790746427,0.129067213,0.087125889,0.205243274
RP4-756G23.5,0.266481853,0.424854823,-0.669296265,0.245213583,-0.522129922,0.926412114,-0.266203815,0.630197729,-0.627918365,0.000397994,-1.226149141,0.713359913,-0.71922361,0.033547604,-0.654152735
EVC2,0.26702121,0.425051371,-0.59422323,0.490865865,-0.112237736,0.437343567,-0.485330556,0.208449419,-0.73052474,0.746877402,-0.144662557,0.0467728,-1.896868266,0.619999173,-0.195715523
CDK7,0.267099694,0.425079956,0.341236153,0.341041011,0.200339999,0.840100286,0.168915569,0.362523521,0.522869285,0.000462158,0.617735599,0.327403176,0.408575978,0.678949582,0.128980487
CDK5,0.267513334,0.425230541,0.457478672,0.683476957,0.118222506,0.940639845,0.113123739,0.181100433,0.737617847,0.015466277,0.660637675,0.692677953,0.347050961,0.038021782,0.768219304
EPS8L2,0.269586728,0.425983687,-0.561186201,0.599544879,-0.15373373,0.392410568,-0.37114057,0.824314946,-0.168886659,0.038043784,-0.712146351,0.022638366,-1.813092937,0.678949582,-0.148116961
ANXA5,0.270921893,0.426467219,-0.324838782,0.376137278,-0.187246937,0.356640821,-0.351584531,0.745518201,-0.205751853,0.518424858,-0.186761817,0.258533658,-0.842656961,0.303548498,-0.175030595
LTBR,0.271775636,0.426775811,-0.426427864,0.62173674,-0.124205253,0.786537695,-0.21239091,0.279881171,-0.40903481,0.599271596,-0.24398065,0.136560928,-1.085471455,0.136666737,-0.483484106
RGAG1,0.27430732,0.427688231,0.829658168,0.087274208,0.917427108,0.717371051,0.85208649,0.681211578,0.942298215,0.266644618,0.273437023,0.795841772,0.460600467,0.017786162,1.532099708
PTPRF,0.275218463,0.42801564,0.423505933,0.720935382,0.204974329,0.852718437,0.316140107,0.350077638,0.816856364,0.043001497,0.318317254,0.075364065,0.759265284,0.525996819,0.125482259
ZFP69B,0.276055557,0.428315993,0.393374029,0.47448623,0.217262033,0.727262794,0.428601315,0.890898104,0.139591606,0.142684485,0.239299838,0.250113106,0.964248324,0.08445124,0.371241058
CDC123,0.276206845,0.428370231,0.22035347,0.138319516,0.174903726,0.787268372,0.212498703,0.727118184,0.115511985,0.006230751,0.433878868,0.756078421,0.162224847,0.155206139,0.223102693
RAVER2,0.278062749,0.429034461,0.364060266,0.358502203,0.521878721,0.5357846,0.671286964,0.825550373,0.166435854,0.039720119,0.269113113,0.638628441,0.285473531,0.17602103,0.270173415
VWCE,0.279663324,0.429605662,-0.591639861,0.74851169,-0.256467662,0.572047441,-0.957259402,0.921012495,-0.159709499,0.038811018,-0.636087126,0.217241816,-0.871883477,0.080009509,-0.668432
PDLIM4,0.281364054,0.430210956,-0.863104768,0.472416298,-0.314599568,0.637267676,-0.418448937,0.73703575,-0.37684187,0.000633147,-1.166199139,4.36373010184806e-08,-2.711439214,0.733912824,-0.191099882
AC011747.7,0.283547452,0.430985584,-0.507164589,0.230627982,-0.388598849,0.926006245,-0.219012134,0.653193086,-0.503919344,0.167504259,-0.462988838,0.128042513,-1.208397422,0.480539417,-0.260070947
ADAMTSL4,0.285144869,0.431550597,-0.688340127,0.748230602,-0.347340571,0.886535626,-0.462010091,0.548247751,-0.592013441,0.015412385,-0.724255833,0.065996982,-1.472830545,0.324880238,-0.53159028
C2CD2L,0.291684903,0.433849122,0.351012346,0.485159532,0.120798682,0.849844802,0.1690224,0.651682845,0.347506897,0.318849552,0.228235613,0.093030956,0.926686999,0.204527046,0.313823485
KBTBD8,0.291737496,0.433867513,0.511489643,0.18690842,0.714458824,0.569401185,0.765526744,0.600777131,0.709605673,0.091334348,0.330880742,0.611738975,0.401348827,0.543045017,0.147117049
PML,0.293373415,0.43443882,-0.339724022,0.566808104,-0.172409033,0.4607645,-0.490772351,0.763359035,-0.144094231,0.241607307,-0.18683774,0.011546223,-0.882400935,0.562547754,-0.161829844
PGAM5,0.296139245,0.435401549,0.304148135,0.604860016,0.174683373,0.854290009,0.181442204,0.768819231,0.170044967,0.02030925,0.435531688,0.272315117,0.566084661,0.091815672,0.297101915
GALNT1,0.302411044,0.437570286,0.39416018,0.758078034,0.222260378,0.880303702,0.165824685,0.825550373,0.117847358,7.01904743410477e-12,0.911623581,0.035182959,0.726331009,0.126306647,0.221074066
