,Combined p-vlaue,AvgAdjP,AvgLogFC,Total_pF_padj,Total_pF_log2FC,PolyA_pF_padj,PolyA_pF_log2FC,Gage_pF_padj,Gage_pF_log2FC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC,Total_SN_padj,Total_SN_log2FC
ZNF473,0.508439317,0.502557551,0.172653963,0.180290821,0.189707086,0.476166932,0.321489654,0.830171342,0.128090725,0.284626729,0.125343006,0.846369588,0.131811014,0.397719895,0.139482295
GVQW1,0.516219924,0.504916424,-0.346216777,0.463904294,-0.307686138,0.927573005,-0.24786746,0.775757028,-0.200205976,0.32781369,-0.230653447,0.420499983,-0.669520055,0.113950546,-0.421367583
ORC4,0.521504615,0.506519572,0.24025924,0.598794083,0.15419549,0.862802436,0.160363801,0.682950256,0.185306763,0.095111625,0.31023308,0.234513465,0.502939094,0.564945564,0.128517214
DHPS,0.523731217,0.50719534,0.184792494,0.403345918,0.205151975,0.863594925,0.165191485,0.540311672,0.25075438,0.300972324,0.15694132,0.754590351,0.158142196,0.180356848,0.17257361
ZNF417,0.525140351,0.507623118,-0.254535719,0.587914961,-0.165557297,0.932571312,-0.127731086,0.496089762,-0.586019176,0.057493056,-0.289042883,0.855655885,-0.137207925,0.116013732,-0.221655946
IFI35,0.529291032,0.508883712,-0.514392265,0.817172188,-0.101343275,0.728905711,-0.292136652,0.760360374,-0.249347829,0.073963674,-0.472587544,0.001744179,-1.855191535,0.671156147,-0.115746757
EFTUD2,0.543494844,0.51320533,0.20225023,0.493915803,0.189199764,0.879549646,0.177121385,0.791567079,0.153454701,0.037035056,0.279175567,0.7738327,0.187307517,0.103331699,0.227242443
CAPS2,0.546741432,0.514195208,-0.348456636,0.518284218,-0.340692117,0.814084508,-0.508509639,0.671519054,-0.387732908,0.000206335,-0.4217478,0.693126403,-0.285499714,0.387950731,-0.146557638
IFFO2,0.550798248,0.515433411,-0.352865084,0.596215201,-0.211448917,0.915154341,-0.140079718,0.356329854,-1.065424868,0.491725209,-0.115582013,0.379554572,-0.34546204,0.353621288,-0.23919295
RIPK2,0.553336812,0.516209,0.24482547,0.631695453,0.133337696,0.630444367,0.243243218,0.570542572,0.302377941,0.278831856,0.150537902,0.494532903,0.445740477,0.491206847,0.193715586
TP53INP2,0.554492969,0.516562442,-0.355713937,0.416547456,-0.290901509,0.005886371,-0.865865011,0.747115945,-0.305259666,0.749481049,-0.143571556,0.735713899,-0.303321436,0.44462993,-0.225364445
PLA2G16,0.565085654,0.519807353,-0.5652159,0.899010708,-0.164503373,0.944208946,-0.146047649,0.89493088,-0.13280154,0.000366263,-1.162542489,0.032178048,-1.561699761,0.348149274,-0.223700587
AKT2,0.566088296,0.520115171,-0.219445984,0.62750585,-0.115207483,0.702965786,-0.198483724,0.601125941,-0.230040508,0.232679905,-0.286635329,0.657968575,-0.238632911,0.298444965,-0.247675947
RP11-890B15.3,0.573547152,0.522409137,-0.276859966,0.632646349,-0.243427859,0.38325802,-0.620859277,0.835381858,-0.193073007,0.507951526,-0.156978059,0.746808216,-0.167726932,0.028408852,-0.279094659
PIK3CB,0.600969306,0.53091596,0.22138048,0.546590407,0.186619982,0.716000339,0.224183956,0.698368062,0.201727256,0.431001881,0.149614461,0.391577102,0.39557204,0.401957968,0.170565186
APOBEC3C,0.602116582,0.531274789,-0.310976491,0.259290323,-0.284950897,0.546618528,-0.415357374,0.782336492,-0.155183746,0.720460199,-0.158351269,0.582391148,-0.466683875,0.296552045,-0.385331783
TMEM140,0.610661995,0.53395603,-0.289412528,0.52037875,-0.189375434,0.64429922,-0.383724365,0.586771084,-0.414934628,0.038972274,-0.454352711,0.909761212,-0.105721753,0.503553639,-0.188366276
GABBR1,0.621590122,0.537408481,0.399875296,0.692233832,0.178331519,0.889610381,0.247321524,0.338843454,1.049956136,9.26298296204398e-06,0.505436339,0.797042397,0.147006143,0.50671156,0.271200114
MYO6,0.632317046,0.540825952,-0.268355772,0.686226121,-0.193233981,0.908057024,-0.106378256,0.481163713,-0.4682771,0.106233672,-0.368063568,0.84143014,-0.26082368,0.221845041,-0.21335805
GABRB3,0.634727763,0.541598194,0.571160384,0.909712868,0.264236016,0.977402083,0.211152842,0.824402191,0.430880345,0.008997962,0.748166666,0.010337365,1.472404153,0.518736697,0.300122283
SERPINB9,0.6378973,0.542615995,-0.428629041,0.931009,-0.131427157,0.701909015,-1.042789844,0.470782513,-0.626804221,0.272233909,-0.160437934,0.864030142,-0.153776772,0.015731392,-0.456538319
TIPARP,0.655532007,0.548334166,-0.403948775,0.667268913,-0.132721463,0.578064755,-0.268348647,0.622713849,-0.731694809,0.656433143,-0.116321084,0.289549397,-1.027692941,0.47597494,-0.146913707
TMEM254-AS1,0.686353095,0.558591507,-0.417085925,0.763761993,-0.20337142,0.872923618,-0.380887956,0.032719283,-1.201897897,0.530049899,-0.127475838,0.620328724,-0.452594078,0.531765525,-0.136288362
RP11-296I10.3,0.710370628,0.566870798,-0.289278178,0.683192075,-0.208587868,0.918174235,-0.156869976,0.501754775,-0.39458437,0.22186388,-0.375599453,0.934135739,-0.128962412,0.142104085,-0.471064986
EOGT,0.764093689,0.58662865,-0.272325047,0.596805701,-0.245681866,0.887330279,-0.218059108,0.890946998,-0.152141356,0.395673656,-0.171561088,0.748968358,-0.235315543,4.69106195858097e-05,-0.611191321
YOD1,0.767011267,0.587763172,0.233771309,0.756992057,0.15922771,0.917590762,0.160560046,0.32119811,0.472674983,0.370434728,0.187166301,0.587601662,0.30259908,0.57276171,0.120399737
ARHGAP23,0.811001683,0.605909866,-0.21988852,0.748230602,-0.128189132,0.602994632,-0.347011425,0.81042424,-0.172716755,0.388243895,-0.26440812,0.867749319,-0.123812721,0.21781651,-0.283192968
ZNF77,0.837602544,0.618098978,-0.250864259,0.421672318,-0.362657573,0.888934109,-0.281574554,0.769571877,-0.157706216,0.597363629,-0.118963855,0.686929947,-0.298027412,0.344121987,-0.286255944
AC097662.2,0.839649493,0.619085749,-0.324309439,0.561022327,-0.382491927,0.833669618,-0.623217521,0.525682383,-0.452380201,0.363682167,-0.147851888,0.83165405,-0.219326761,0.598803947,-0.120588338
NCS1,0.843022449,0.620728936,0.206742874,0.690428176,0.101454874,0.833669618,0.175856649,0.673032345,0.244073417,0.241496234,0.174647162,0.760713556,0.180469205,0.525033689,0.363955934
