"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","036_pF","348_pF","652_pF","864_pF","204_pF","680_pF","706_pF","731_pF"
"RAMP1",77.3869345489438,-3.46619073127277,0.790527166163346,-4.38465732695206,1.1616850023597e-05,0.00303285836356798,29.1374278069802,5.94114556351449,5.33792816014856,11.6185444503499,114.67844797415,15.9594617618352,128.908857011532,307.51366366304
"UBALD2",247.122672491564,0.970970547852255,0.222419360049849,4.36549474665623,1.26835350586644e-05,0.00309364837732578,345.67584807372,365.380452156141,307.8205239019,290.463611258748,132.250145647609,154.900658276636,226.733308786241,153.75683183152
"LRIG3",448.635181284609,-1.07824953956036,0.247662691374432,-4.35370193861859,1.33857675568785e-05,0.00309364837732578,231.774993919161,239.626204395084,367.427388356892,313.700700159447,796.275352465671,462.824391093222,558.605047049972,618.847372837422
"GHR",57.693456419076,-1.66814598590133,0.382274479026656,-4.36373882491122,1.27858213450121e-05,0.00309364837732578,13.2442853668092,31.6861096720773,25.7999861073847,39.0805586057224,98.9564026873714,82.613684414206,60.3403160479512,109.826308451086
"PTGIS",7302.95858308783,-2.32965471649919,0.534751470935647,-4.35651857567222,1.32147483095452e-05,0.00309364837732578,3848.78932759475,493.115081771703,3178.73621936847,2173.7240435291,15390.9575095629,18034.1917908738,8179.76981334877,7124.38487865304
"FKBP7",491.828679453274,-0.737172428178469,0.168886282283417,-4.36490411306101,1.27178532992545e-05,0.00309364837732578,294.023135143164,355.478542883617,451.054929532553,372.849653724865,605.761156637648,619.602633106545,640.887296206269,594.972088391534
"CORO2B",179.515508855071,-1.64559250939363,0.376332952902242,-4.37270373668578,1.22717205009357e-05,0.00309364837732578,132.442853668092,68.3231739804167,42.7034252811885,105.623131366817,263.575465101877,269.433266214513,190.163420272331,363.859334955336
"KRT34",566.499018739616,2.63462536851424,0.604500354731475,4.35835206363869,1.31045456987726e-05,0.00309364837732578,448.981273934831,2198.22385850036,579.165205376119,677.044272061299,95.2570979140118,248.779845110961,236.790028127566,47.7505688917764
"RFTN1",4144.26939407494,-0.983072301408664,0.226483566226677,-4.34058999417535,1.42100654521754e-05,0.00323118552814143,3058.10549119624,2540.8299193297,2953.65358194887,2585.65425585969,6916.77509998926,5028.16924684645,3654.24610975244,6416.72144767691
"COL18A1",476.188009051547,3.25230394018503,0.750057464202042,4.33607302827796,1.45050770622002e-05,0.00324591391147458,1537.66153108655,239.626204395084,115.655110136552,1554.77249371955,104.505359847411,75.10334946746,26.5131691725846,155.666854587191
