"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","036_iF_Y","652_iF_Y","864_iF_Y","204_iF_O","680_iF_O","706_iF_O"
"ADAM33",157.877371501348,5.93036483918882,1.23085736290564,4.81807642210404,1.44948855500436e-06,0.00165074446591073,828.822884570863,26.0480021323469,77.1579813325642,1.9010941965057,10.2274862605951,3.10678051521379
"MEIS1",473.030023809679,3.95414066059418,0.834635943602948,4.7375633542991,2.16303245796421e-06,0.00228740682429715,1703.9306834749,216.398786945651,745.860486214787,16.1593006702984,95.7664622583,60.0644232941332
"THNSL2",157.291493534004,-1.98649956769145,0.432670621739342,-4.59125133041318,4.40596377686038e-06,0.00434868624776119,37.6737674804938,78.1440063970407,74.1903666659271,332.691484388497,222.215383298385,198.833952973682
"HTR7P1",186.378455374825,1.29237962801961,0.289657689494625,4.46174803877801,8.12937774718829e-06,0.00728215653486,222.813424813206,283.522484748237,287.858622663797,127.373311165882,109.713034431839,86.989854425986
"TPD52L1",445.29615564448,1.45037119977503,0.326408180921385,4.44342784448882,8.8536857566687e-06,0.00728215653486,899.864846105509,541.998813599987,514.386542217095,247.142245545741,261.265785384294,207.118701014252
"RP11-553K8.5",50.0499424644814,4.8657722440266,1.09446220314107,4.4458111299431,8.75608527489581e-06,0.00728215653486,173.299330410271,17.0313860096114,99.9096937767819,0.950547098252849,1.85954295647184,7.24915453549884
"PITPNC1",391.678863269885,-1.58837193277861,0.371101818753562,-4.28015130217782,1.86766298521882e-05,0.0145530265769287,144.236709782462,220.406171889089,221.581895108902,547.515128593641,413.748307814985,802.584966430228
"PDE5A",743.807062822388,1.48226476436702,0.351006498457174,4.22289835339862,2.41180607928524e-05,0.0165839974424683,1221.70645972458,1223.25425398444,841.813360436053,321.284919209463,551.354486593902,303.42889698588
"MFGE8",10889.5723209158,1.63986170010049,0.388773431226319,4.21803952736127,2.4643562562263e-05,0.0165839974424683,24964.7911192884,13522.9204916315,10977.2066518906,4201.41817427759,6315.00788017838,5356.08960822857
"HOTAIRM1",113.135585805975,6.65888778370305,1.57612222576683,4.22485494769499,2.39094729481333e-05,0.0165839974424683,226.042604882963,2.00369247171899,444.152995106684,0,5.57862886941553,1.03559350507126
"ANKRD50",2554.7476745273,0.679571694602615,0.16204836312005,4.19363504523134,2.74519521018318e-05,0.0176707022116356,3202.27023584197,3226.94672570344,3007.18286219225,1790.83073310837,1917.18878812247,2184.06670219529
"BEX1",1297.61144819112,-4.01890406737532,0.962870750403761,-4.17387698784087,2.99459488159245e-05,0.0182482534419173,48.4377010463492,176.324937511271,227.517124442177,4389.62649973166,176.656580864825,2767.10584555041
"NEAT1",5261.32287197886,1.11505372006121,0.267568168708759,4.1673631263475,3.0814342184933e-05,0.0182482534419173,9122.43369706242,6827.58209738246,5647.37071061037,3793.63346912712,3270.00628895574,2906.91096873503
"RPP25",128.6312644352,-1.54892700694247,0.376441053180792,-4.1146601675205,3.877502430949e-05,0.0220793936500769,73.1947482478165,57.1052354439913,66.2767275548949,214.823644205144,127.378692518321,233.008538641034
"LIN7A",33.6087192253429,-2.85023204349504,0.694254073029956,-4.1054595921284,4.03511817688375e-05,0.0221258980032459,9.68754020926983,6.01107741515697,8.90284399991125,37.0713368318611,98.5557766930077,41.4237402028505
